SYSTEM: 2024-11-14 15:03:18,076 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:04:04,251 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:04:04,253 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:04:04,383 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:04:04,384 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:04:29,578 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:04:29,579 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:05:13,274 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:05:13,275 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:05:53,035 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:05:53,036 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:05:53,111 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:05:53,113 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:06:10,125 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:06:10,129 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:06:10,225 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:06:10,226 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:06:25,080 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:06:25,082 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:06:25,204 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:06:25,206 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:06:43,064 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:06:43,065 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:06:43,164 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:06:43,165 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:06:43,285 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:06:43,287 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:07:06,088 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:07:06,089 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:07:06,168 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:07:06,169 | system_logger | INFO | Found top 3 most trending songs 
